Wsp. x,Wsp. y1,Wsp. y2
0.0,	0.00,	17.9950
0.1,	50.00,	17.9991
0.2,	50.00,	18.0118
0.3,	50.00,	18.0329
0.4,	50.00,	18.0622
0.5,	50.00,	18.0993
0.6,	50.00,	18.1440
0.7,	50.00,	18.1960
0.8,	50.00,	18.2550
0.9,	50.00,	18.3208
1.0,	50.00,	18.3932
1.1,	50.00,	18.4719
1.2,	50.00,	18.5567
1.3,	50.00,	18.6473
1.4,	50.00,	18.7435
1.5,	50.00,	18.8452
1.6,	50.00,	18.9520
1.7,	50.00,	19.0639
1.8,	50.00,	19.1806
1.9,	50.00,	19.3019
2.0,	50.00,	19.4276
2.1,	50.00,	19.5575
2.2,	50.00,	19.6915
2.3,	50.00,	19.8295
2.4,	50.00,	19.9711
2.5,	50.00,	20.1163
2.6,	50.00,	20.2649
2.7,	50.00,	20.4167
2.8,	50.00,	20.5717
2.9,	50.00,	20.7295
3.0,	50.00,	20.8902
3.1,	50.00,	21.0536
3.2,	50.00,	21.2195
3.3,	50.00,	21.3878
3.4,	50.00,	21.5584
3.5,	50.00,	21.7311
3.6,	50.00,	21.9059
3.7,	50.00,	22.0826
3.8,	50.00,	22.2611
3.9,	50.00,	22.4413
4.0,	50.00,	22.6231
4.1,	50.00,	22.8063
4.2,	50.00,	22.9910
4.3,	50.00,	23.1769
4.4,	50.00,	23.3640
4.5,	50.00,	23.5523
4.6,	50.00,	23.7415
4.7,	50.00,	23.9317
4.8,	50.00,	24.1227
4.9,	50.00,	24.3145
5.0,	50.00,	24.5070
5.1,	50.00,	24.7001
5.2,	50.00,	24.8937
5.3,	50.00,	25.0878
5.4,	50.00,	25.2822
5.5,	50.00,	25.4770
5.6,	50.00,	25.6721
5.7,	50.00,	25.8674
5.8,	50.00,	26.0628
5.9,	50.00,	26.2583
6.0,	50.00,	26.4538
6.1,	50.00,	26.6492
6.2,	50.00,	26.8446
6.3,	50.00,	27.0399
6.4,	50.00,	27.2350
6.5,	50.00,	27.4298
6.6,	50.00,	27.6244
6.7,	50.00,	27.8186
6.8,	50.00,	28.0125
6.9,	50.00,	28.2060
7.0,	50.00,	28.3990
7.1,	50.00,	28.5916
7.2,	50.00,	28.7836
7.3,	50.00,	28.9750
7.4,	50.00,	29.1659
7.5,	50.00,	29.3562
7.6,	50.00,	29.5457
7.7,	50.00,	29.7347
7.8,	50.00,	29.9228
7.9,	50.00,	30.1103
8.0,	50.00,	30.2970
8.1,	50.00,	30.4828
8.2,	50.00,	30.6679
8.3,	50.00,	30.8521
8.4,	50.00,	31.0354
8.5,	50.00,	31.2179
8.6,	50.00,	31.3994
8.7,	50.00,	31.5801
8.8,	50.00,	31.7597
8.9,	50.00,	31.9384
9.0,	50.00,	32.1161
9.1,	50.00,	32.2929
9.2,	50.00,	32.4686
9.3,	50.00,	32.6432
9.4,	50.00,	32.8169
9.5,	47.78,	32.9888
9.6,	44.58,	33.1582
9.7,	41.45,	33.3243
9.8,	38.39,	33.4862
9.9,	35.40,	33.6432
10.0,	32.50,	33.7946
10.1,	29.67,	33.9399
10.2,	26.92,	34.0783
10.3,	24.27,	34.2095
10.4,	21.70,	34.3327
10.5,	19.23,	34.4477
10.6,	16.85,	34.5540
10.7,	14.57,	34.6513
10.8,	12.39,	34.7391
10.9,	10.31,	34.8172
11.0,	8.33,	34.8854
11.1,	6.46,	34.9435
11.2,	4.69,	34.9913
11.3,	3.02,	35.0287
11.4,	1.46,	35.0555
11.5,	0.01,	35.0718
11.6,	0.00,	35.0778
11.7,	0.00,	35.0740
11.8,	0.00,	35.0606
11.9,	0.00,	35.0379
12.0,	0.00,	35.0064
12.1,	0.00,	34.9662
12.2,	0.00,	34.9177
12.3,	0.00,	34.8612
12.4,	0.00,	34.7970
12.5,	0.00,	34.7253
12.6,	0.00,	34.6464
12.7,	0.00,	34.5605
12.8,	0.00,	34.4680
12.9,	0.00,	34.3691
13.0,	0.00,	34.2639
13.1,	0.00,	34.1529
13.2,	0.00,	34.0361
13.3,	0.00,	33.9138
13.4,	0.00,	33.7862
13.5,	0.00,	33.6536
13.6,	0.00,	33.5161
13.7,	0.00,	33.3739
13.8,	0.00,	33.2273
13.9,	0.00,	33.0764
14.0,	0.00,	32.9214
14.1,	0.00,	32.7625
14.2,	0.00,	32.5998
14.3,	0.00,	32.4336
14.4,	0.00,	32.2640
14.5,	0.00,	32.0911
14.6,	0.00,	31.9152
14.7,	0.00,	31.7363
14.8,	0.00,	31.5546
14.9,	0.00,	31.3703
15.0,	0.00,	31.1835
15.1,	0.00,	30.9943
15.2,	0.00,	30.8029
15.3,	0.00,	30.6094
15.4,	0.00,	30.4138
15.5,	0.00,	30.2165
15.6,	0.81,	30.0175
15.7,	2.30,	29.8176
15.8,	3.81,	29.6172
15.9,	5.33,	29.4168
16.0,	6.86,	29.2168
16.1,	8.40,	29.0178
16.2,	9.95,	28.8201
16.3,	11.50,	28.6243
16.4,	13.05,	28.4307
16.5,	14.59,	28.2398
16.6,	16.12,	28.0519
16.7,	17.65,	27.8674
16.8,	19.16,	27.6867
16.9,	20.65,	27.5100
17.0,	22.13,	27.3378
17.1,	23.58,	27.1703
17.2,	25.01,	27.0078
17.3,	26.41,	26.8506
17.4,	27.78,	26.6988
17.5,	29.12,	26.5528
17.6,	30.42,	26.4128
17.7,	31.69,	26.2789
17.8,	32.92,	26.1513
17.9,	34.11,	26.0302
18.0,	35.26,	25.9156
18.1,	36.37,	25.8078
18.2,	37.43,	25.7068
18.3,	38.45,	25.6127
18.4,	39.42,	25.5255
18.5,	40.34,	25.4454
18.6,	41.22,	25.3723
18.7,	42.04,	25.3062
18.8,	42.82,	25.2472
18.9,	43.55,	25.1952
19.0,	44.22,	25.1502
19.1,	44.84,	25.1121
19.2,	45.41,	25.0809
19.3,	45.94,	25.0565
19.4,	46.40,	25.0389
19.5,	46.82,	25.0278
19.6,	47.19,	25.0232
19.7,	47.51,	25.0250
19.8,	47.77,	25.0330
19.9,	47.99,	25.0471
20.0,	48.16,	25.0671
20.1,	48.28,	25.0928
20.2,	48.35,	25.1241
20.3,	48.38,	25.1608
20.4,	48.36,	25.2027
20.5,	48.30,	25.2495
20.6,	48.20,	25.3011
20.7,	48.05,	25.3573
20.8,	47.86,	25.4178
20.9,	47.64,	25.4824
21.0,	47.37,	25.5509
21.1,	47.07,	25.6231
21.2,	46.74,	25.6987
21.3,	46.37,	25.7774
21.4,	45.97,	25.8591
21.5,	45.54,	25.9436
21.6,	45.08,	26.0304
21.7,	44.59,	26.1195
21.8,	44.08,	26.2106
21.9,	43.55,	26.3034
22.0,	42.99,	26.3978
22.1,	42.41,	26.4934
22.2,	41.82,	26.5900
22.3,	41.21,	26.6875
22.4,	40.58,	26.7855
22.5,	39.94,	26.8839
22.6,	39.29,	26.9824
22.7,	38.63,	27.0808
22.8,	37.96,	27.1790
22.9,	37.28,	27.2767
23.0,	36.60,	27.3737
23.1,	35.92,	27.4698
23.2,	35.23,	27.5648
23.3,	34.54,	27.6586
23.4,	33.86,	27.7509
23.5,	33.17,	27.8417
23.6,	32.50,	27.9307
23.7,	31.82,	28.0179
23.8,	31.16,	28.1029
23.9,	30.50,	28.1858
24.0,	29.85,	28.2664
24.1,	29.21,	28.3446
24.2,	28.59,	28.4202
24.3,	27.97,	28.4932
24.4,	27.37,	28.5634
24.5,	26.79,	28.6307
24.6,	26.22,	28.6952
24.7,	25.67,	28.7567
24.8,	25.13,	28.8151
24.9,	24.62,	28.8704
25.0,	24.12,	28.9225
25.1,	23.64,	28.9715
25.2,	23.18,	29.0172
25.3,	22.75,	29.0596
25.4,	22.33,	29.0988
25.5,	21.94,	29.1347
25.6,	21.57,	29.1673
25.7,	21.22,	29.1966
25.8,	20.89,	29.2227
25.9,	20.58,	29.2454
26.0,	20.30,	29.2650
26.1,	20.05,	29.2813
26.2,	19.81,	29.2945
26.3,	19.60,	29.3046
26.4,	19.41,	29.3116
26.5,	19.24,	29.3156
26.6,	19.10,	29.3166
26.7,	18.98,	29.3148
26.8,	18.88,	29.3101
26.9,	18.80,	29.3027
27.0,	18.75,	29.2926
27.1,	18.71,	29.2799
27.2,	18.70,	29.2647
27.3,	18.71,	29.2472
27.4,	18.74,	29.2273
27.5,	18.78,	29.2052
27.6,	18.85,	29.1809
27.7,	18.93,	29.1547
27.8,	19.04,	29.1265
27.9,	19.16,	29.0965
28.0,	19.29,	29.0648
